agent_id,date,total_tours,escorted_tours,virtual_tours,actual_travels_required,daily_travel_time,travel_segments,final_physical_location
0650940d-f99a-48ba-b4f6-cca2a5127b86,2025-05-05,6,5,1,3,17.108029371064788,"[{'from_property': 64937, 'to_property': 64932, 'travel_time': 7.108029371064788, 'tour_causing_travel': 1, 'prev_end': Timestamp('2025-05-05 16:00:00'), 'next_start': Timestamp('2025-05-05 16:00:00'), 'buffer_time': 0.0}, {'from_property': 64932, 'to_property': 64933, 'travel_time': 5.0, 'tour_causing_travel': 2, 'prev_end': Timestamp('2025-05-05 17:00:00'), 'next_start': Timestamp('2025-05-05 16:00:00'), 'buffer_time': -60.0}, {'from_property': 64933, 'to_property': 64932, 'travel_time': 5.0, 'tour_causing_travel': 3, 'prev_end': Timestamp('2025-05-05 17:45:00'), 'next_start': Timestamp('2025-05-05 18:00:00'), 'buffer_time': 15.0}]",64932.0
0650940d-f99a-48ba-b4f6-cca2a5127b86,2025-05-06,3,2,1,0,0.0,[],100490.0
0650940d-f99a-48ba-b4f6-cca2a5127b86,2025-05-07,5,5,0,4,22.957382985677306,"[{'from_property': 64940, 'to_property': 64932, 'travel_time': 7.792444379186417, 'tour_causing_travel': 1, 'prev_end': Timestamp('2025-05-07 15:30:00'), 'next_start': Timestamp('2025-05-07 15:30:00'), 'buffer_time': 0.0}, {'from_property': 64932, 'to_property': 64934, 'travel_time': 5.164938606490889, 'tour_causing_travel': 2, 'prev_end': Timestamp('2025-05-07 16:30:00'), 'next_start': Timestamp('2025-05-07 17:30:00'), 'buffer_time': 60.0}, {'from_property': 64934, 'to_property': 64933, 'travel_time': 5.0, 'tour_causing_travel': 3, 'prev_end': Timestamp('2025-05-07 18:30:00'), 'next_start': Timestamp('2025-05-07 18:45:00'), 'buffer_time': 15.0}, {'from_property': 64933, 'to_property': 64934, 'travel_time': 5.0, 'tour_causing_travel': 4, 'prev_end': Timestamp('2025-05-07 19:30:00'), 'next_start': Timestamp('2025-05-07 19:30:00'), 'buffer_time': 0.0}]",64934.0
0650940d-f99a-48ba-b4f6-cca2a5127b86,2025-05-08,2,2,0,0,0.0,[],64932.0
0650940d-f99a-48ba-b4f6-cca2a5127b86,2025-05-09,5,5,0,3,44.2933556643283,"[{'from_property': 64933, 'to_property': 64938, 'travel_time': 14.764451888109434, 'tour_causing_travel': 1, 'prev_end': Timestamp('2025-05-09 14:00:00'), 'next_start': Timestamp('2025-05-09 14:00:00'), 'buffer_time': 0.0}, {'from_property': 64938, 'to_property': 64933, 'travel_time': 14.764451888109434, 'tour_causing_travel': 2, 'prev_end': Timestamp('2025-05-09 15:00:00'), 'next_start': Timestamp('2025-05-09 16:00:00'), 'buffer_time': 60.0}, {'from_property': 64933, 'to_property': 64938, 'travel_time': 14.764451888109434, 'tour_causing_travel': 3, 'prev_end': Timestamp('2025-05-09 16:45:00'), 'next_start': Timestamp('2025-05-09 17:00:00'), 'buffer_time': 15.0}]",64938.0
0650940d-f99a-48ba-b4f6-cca2a5127b86,2025-05-10,5,5,0,2,30.323262133515076,"[{'from_property': 64938, 'to_property': 78139, 'travel_time': 15.161631066757538, 'tour_causing_travel': 2, 'prev_end': Timestamp('2025-05-10 16:15:00'), 'next_start': Timestamp('2025-05-10 16:30:00'), 'buffer_time': 15.0}, {'from_property': 78139, 'to_property': 64938, 'travel_time': 15.161631066757538, 'tour_causing_travel': 4, 'prev_end': Timestamp('2025-05-10 19:00:00'), 'next_start': Timestamp('2025-05-10 19:00:00'), 'buffer_time': 0.0}]",64938.0
0650940d-f99a-48ba-b4f6-cca2a5127b86,2025-05-12,7,7,0,1,15.460035594910849,"[{'from_property': 64938, 'to_property': 64932, 'travel_time': 15.460035594910849, 'tour_causing_travel': 1, 'prev_end': Timestamp('2025-05-12 16:00:00'), 'next_start': Timestamp('2025-05-12 17:00:00'), 'buffer_time': 60.0}]",64932.0
0650940d-f99a-48ba-b4f6-cca2a5127b86,2025-05-13,5,5,0,4,20.0,"[{'from_property': 64932, 'to_property': 64933, 'travel_time': 5.0, 'tour_causing_travel': 1, 'prev_end': Timestamp('2025-05-13 14:00:00'), 'next_start': Timestamp('2025-05-13 14:00:00'), 'buffer_time': 0.0}, {'from_property': 64933, 'to_property': 100490, 'travel_time': 5.0, 'tour_causing_travel': 2, 'prev_end': Timestamp('2025-05-13 15:00:00'), 'next_start': Timestamp('2025-05-13 14:00:00'), 'buffer_time': -60.0}, {'from_property': 100490, 'to_property': 64935, 'travel_time': 5.0, 'tour_causing_travel': 3, 'prev_end': Timestamp('2025-05-13 14:45:00'), 'next_start': Timestamp('2025-05-13 15:30:00'), 'buffer_time': 45.0}, {'from_property': 64935, 'to_property': 64943, 'travel_time': 5.0, 'tour_causing_travel': 4, 'prev_end': Timestamp('2025-05-13 16:30:00'), 'next_start': Timestamp('2025-05-13 18:30:00'), 'buffer_time': 120.0}]",64943.0
0650940d-f99a-48ba-b4f6-cca2a5127b86,2025-05-14,5,5,0,4,20.65538278169761,"[{'from_property': 100490, 'to_property': 64937, 'travel_time': 5.334875958546577, 'tour_causing_travel': 1, 'prev_end': Timestamp('2025-05-14 14:30:00'), 'next_start': Timestamp('2025-05-14 15:00:00'), 'buffer_time': 30.0}, {'from_property': 64937, 'to_property': 64934, 'travel_time': 5.3205068231510335, 'tour_causing_travel': 2, 'prev_end': Timestamp('2025-05-14 16:00:00'), 'next_start': Timestamp('2025-05-14 16:30:00'), 'buffer_time': 30.0}, {'from_property': 64934, 'to_property': 64943, 'travel_time': 5.0, 'tour_causing_travel': 3, 'prev_end': Timestamp('2025-05-14 17:30:00'), 'next_start': Timestamp('2025-05-14 18:00:00'), 'buffer_time': 30.0}, {'from_property': 64943, 'to_property': 100490, 'travel_time': 5.0, 'tour_causing_travel': 4, 'prev_end': Timestamp('2025-05-14 19:00:00'), 'next_start': Timestamp('2025-05-14 19:00:00'), 'buffer_time': 0.0}]",100490.0
0650940d-f99a-48ba-b4f6-cca2a5127b86,2025-05-15,3,3,0,1,5.5484525975755,"[{'from_property': 64937, 'to_property': 64943, 'travel_time': 5.5484525975755, 'tour_causing_travel': 2, 'prev_end': Timestamp('2025-05-15 17:00:00'), 'next_start': Timestamp('2025-05-15 17:00:00'), 'buffer_time': 0.0}]",64943.0
0650940d-f99a-48ba-b4f6-cca2a5127b86,2025-05-16,3,3,0,2,10.0,"[{'from_property': 64943, 'to_property': 64933, 'travel_time': 5.0, 'tour_causing_travel': 1, 'prev_end': Timestamp('2025-05-16 17:30:00'), 'next_start': Timestamp('2025-05-16 18:00:00'), 'buffer_time': 30.0}, {'from_property': 64933, 'to_property': 64932, 'travel_time': 5.0, 'tour_causing_travel': 2, 'prev_end': Timestamp('2025-05-16 19:30:00'), 'next_start': Timestamp('2025-05-16 19:30:00'), 'buffer_time': 0.0}]",64932.0
0650940d-f99a-48ba-b4f6-cca2a5127b86,2025-05-17,4,4,0,3,15.0,"[{'from_property': 64935, 'to_property': 64933, 'travel_time': 5.0, 'tour_causing_travel': 1, 'prev_end': Timestamp('2025-05-17 15:45:00'), 'next_start': Timestamp('2025-05-17 16:00:00'), 'buffer_time': 15.0}, {'from_property': 64933, 'to_property': 64934, 'travel_time': 5.0, 'tour_causing_travel': 2, 'prev_end': Timestamp('2025-05-17 17:00:00'), 'next_start': Timestamp('2025-05-17 17:00:00'), 'buffer_time': 0.0}, {'from_property': 64934, 'to_property': 64933, 'travel_time': 5.0, 'tour_causing_travel': 3, 'prev_end': Timestamp('2025-05-17 18:45:00'), 'next_start': Timestamp('2025-05-17 18:30:00'), 'buffer_time': -15.0}]",64933.0
0650940d-f99a-48ba-b4f6-cca2a5127b86,2025-05-19,5,4,1,3,20.060825171548018,"[{'from_property': 100490, 'to_property': 64932, 'travel_time': 7.3366787519848105, 'tour_causing_travel': 1, 'prev_end': Timestamp('2025-05-19 15:45:00'), 'next_start': Timestamp('2025-05-19 16:00:00'), 'buffer_time': 15.0}, {'from_property': 64932, 'to_property': 64937, 'travel_time': 7.108029371064788, 'tour_causing_travel': 2, 'prev_end': Timestamp('2025-05-19 17:00:00'), 'next_start': Timestamp('2025-05-19 17:00:00'), 'buffer_time': 0.0}, {'from_property': 64937, 'to_property': 64933, 'travel_time': 5.616117048498422, 'tour_causing_travel': 4, 'prev_end': Timestamp('2025-05-19 19:30:00'), 'next_start': Timestamp('2025-05-19 19:30:00'), 'buffer_time': 0.0}]",64933.0
0650940d-f99a-48ba-b4f6-cca2a5127b86,2025-05-20,7,7,0,3,22.114836719661575,"[{'from_property': 64932, 'to_property': 84770, 'travel_time': 7.503403674298393, 'tour_causing_travel': 1, 'prev_end': Timestamp('2025-05-20 15:30:00'), 'next_start': Timestamp('2025-05-20 15:30:00'), 'buffer_time': 0.0}, {'from_property': 84770, 'to_property': 64932, 'travel_time': 7.503403674298393, 'tour_causing_travel': 3, 'prev_end': Timestamp('2025-05-20 18:00:00'), 'next_start': Timestamp('2025-05-20 18:00:00'), 'buffer_time': 0.0}, {'from_property': 64932, 'to_property': 64937, 'travel_time': 7.108029371064788, 'tour_causing_travel': 5, 'prev_end': Timestamp('2025-05-20 19:00:00'), 'next_start': Timestamp('2025-05-20 19:00:00'), 'buffer_time': 0.0}]",64937.0
0650940d-f99a-48ba-b4f6-cca2a5127b86,2025-05-21,4,3,1,2,12.50673165292307,"[{'from_property': 64943, 'to_property': 78139, 'travel_time': 5.0, 'tour_causing_travel': 1, 'prev_end': Timestamp('2025-05-21 16:00:00'), 'next_start': Timestamp('2025-05-21 17:00:00'), 'buffer_time': 60.0}, {'from_property': 78139, 'to_property': 64940, 'travel_time': 7.5067316529230705, 'tour_causing_travel': 2, 'prev_end': Timestamp('2025-05-21 18:00:00'), 'next_start': Timestamp('2025-05-21 18:00:00'), 'buffer_time': 0.0}]",64940.0
0650940d-f99a-48ba-b4f6-cca2a5127b86,2025-05-27,1,1,0,0,0.0,[],64932.0
0650940d-f99a-48ba-b4f6-cca2a5127b86,2025-05-28,3,3,0,2,10.0,"[{'from_property': 64934, 'to_property': 84770, 'travel_time': 5.0, 'tour_causing_travel': 1, 'prev_end': Timestamp('2025-05-28 19:45:00'), 'next_start': Timestamp('2025-05-28 21:00:00'), 'buffer_time': 75.0}, {'from_property': 84770, 'to_property': 100490, 'travel_time': 5.0, 'tour_causing_travel': 2, 'prev_end': Timestamp('2025-05-28 22:00:00'), 'next_start': Timestamp('2025-05-28 21:00:00'), 'buffer_time': -60.0}]",100490.0
0c398d8d-c79b-4ca6-831b-2727b7b41600,2025-05-01,6,6,0,3,18.807324011154893,"[{'from_property': 100490, 'to_property': 64937, 'travel_time': 5.334875958546577, 'tour_causing_travel': 1, 'prev_end': Timestamp('2025-05-01 13:45:00'), 'next_start': Timestamp('2025-05-01 16:00:00'), 'buffer_time': 135.0}, {'from_property': 64937, 'to_property': 64939, 'travel_time': 5.534647924625943, 'tour_causing_travel': 2, 'prev_end': Timestamp('2025-05-01 17:00:00'), 'next_start': Timestamp('2025-05-01 17:00:00'), 'buffer_time': 0.0}, {'from_property': 64939, 'to_property': 64932, 'travel_time': 7.937800127982374, 'tour_causing_travel': 3, 'prev_end': Timestamp('2025-05-01 18:15:00'), 'next_start': Timestamp('2025-05-01 19:00:00'), 'buffer_time': 45.0}]",64932.0
0c398d8d-c79b-4ca6-831b-2727b7b41600,2025-05-02,3,3,0,2,10.0,"[{'from_property': 64936, 'to_property': 64933, 'travel_time': 5.0, 'tour_causing_travel': 1, 'prev_end': Timestamp('2025-05-02 14:45:00'), 'next_start': Timestamp('2025-05-02 16:00:00'), 'buffer_time': 75.0}, {'from_property': 64933, 'to_property': 64934, 'travel_time': 5.0, 'tour_causing_travel': 2, 'prev_end': Timestamp('2025-05-02 17:45:00'), 'next_start': Timestamp('2025-05-02 18:00:00'), 'buffer_time': 15.0}]",64934.0
0c398d8d-c79b-4ca6-831b-2727b7b41600,2025-05-03,4,4,0,2,10.0,"[{'from_property': 64933, 'to_property': 84770, 'travel_time': 5.0, 'tour_causing_travel': 1, 'prev_end': Timestamp('2025-05-03 15:45:00'), 'next_start': Timestamp('2025-05-03 14:00:00'), 'buffer_time': -105.0}, {'from_property': 84770, 'to_property': 64935, 'travel_time': 5.0, 'tour_causing_travel': 2, 'prev_end': Timestamp('2025-05-03 14:45:00'), 'next_start': Timestamp('2025-05-03 15:30:00'), 'buffer_time': 45.0}]",64935.0
0c398d8d-c79b-4ca6-831b-2727b7b41600,2025-05-05,6,5,1,2,30.224487483020283,"[{'from_property': 64933, 'to_property': 64938, 'travel_time': 14.764451888109434, 'tour_causing_travel': 2, 'prev_end': Timestamp('2025-05-05 16:00:00'), 'next_start': Timestamp('2025-05-05 17:00:00'), 'buffer_time': 60.0}, {'from_property': 64938, 'to_property': 64932, 'travel_time': 15.460035594910849, 'tour_causing_travel': 3, 'prev_end': Timestamp('2025-05-05 18:45:00'), 'next_start': Timestamp('2025-05-05 19:00:00'), 'buffer_time': 15.0}]",64932.0
0c398d8d-c79b-4ca6-831b-2727b7b41600,2025-05-06,3,3,0,2,12.266461084650917,"[{'from_property': 64941, 'to_property': 64937, 'travel_time': 5.431452555874965, 'tour_causing_travel': 1, 'prev_end': Timestamp('2025-05-06 14:30:00'), 'next_start': Timestamp('2025-05-06 15:00:00'), 'buffer_time': 30.0}, {'from_property': 64937, 'to_property': 151243, 'travel_time': 6.835008528775953, 'tour_causing_travel': 2, 'prev_end': Timestamp('2025-05-06 16:00:00'), 'next_start': Timestamp('2025-05-06 17:00:00'), 'buffer_time': 60.0}]",151243.0
0c398d8d-c79b-4ca6-831b-2727b7b41600,2025-05-08,5,4,1,2,12.642677295690731,"[{'from_property': 64939, 'to_property': 64937, 'travel_time': 5.534647924625943, 'tour_causing_travel': 1, 'prev_end': Timestamp('2025-05-08 16:15:00'), 'next_start': Timestamp('2025-05-08 16:30:00'), 'buffer_time': 15.0}, {'from_property': 64937, 'to_property': 64932, 'travel_time': 7.108029371064788, 'tour_causing_travel': 3, 'prev_end': Timestamp('2025-05-08 19:15:00'), 'next_start': Timestamp('2025-05-08 20:00:00'), 'buffer_time': 45.0}]",64932.0
0c398d8d-c79b-4ca6-831b-2727b7b41600,2025-05-09,3,3,0,2,16.7913105484186,"[{'from_property': 64938, 'to_property': 64937, 'travel_time': 11.175193499920177, 'tour_causing_travel': 1, 'prev_end': Timestamp('2025-05-09 16:45:00'), 'next_start': Timestamp('2025-05-09 17:00:00'), 'buffer_time': 15.0}, {'from_property': 64937, 'to_property': 64933, 'travel_time': 5.616117048498422, 'tour_causing_travel': 2, 'prev_end': Timestamp('2025-05-09 18:00:00'), 'next_start': Timestamp('2025-05-09 18:00:00'), 'buffer_time': 0.0}]",64933.0
0c398d8d-c79b-4ca6-831b-2727b7b41600,2025-05-12,4,3,1,0,0.0,[],64938.0
0c398d8d-c79b-4ca6-831b-2727b7b41600,2025-05-13,1,1,0,0,0.0,[],64937.0
0c398d8d-c79b-4ca6-831b-2727b7b41600,2025-05-14,7,7,0,5,52.4603519645394,"[{'from_property': 64934, 'to_property': 64938, 'travel_time': 14.490105346733376, 'tour_causing_travel': 1, 'prev_end': Timestamp('2025-05-14 14:00:00'), 'next_start': Timestamp('2025-05-14 15:00:00'), 'buffer_time': 60.0}, {'from_property': 64938, 'to_property': 64932, 'travel_time': 15.460035594910849, 'tour_causing_travel': 2, 'prev_end': Timestamp('2025-05-14 16:15:00'), 'next_start': Timestamp('2025-05-14 16:30:00'), 'buffer_time': 15.0}, {'from_property': 64932, 'to_property': 84770, 'travel_time': 7.503403674298393, 'tour_causing_travel': 3, 'prev_end': Timestamp('2025-05-14 17:30:00'), 'next_start': Timestamp('2025-05-14 18:00:00'), 'buffer_time': 30.0}, {'from_property': 84770, 'to_property': 64932, 'travel_time': 7.503403674298393, 'tour_causing_travel': 4, 'prev_end': Timestamp('2025-05-14 18:45:00'), 'next_start': Timestamp('2025-05-14 19:00:00'), 'buffer_time': 15.0}, {'from_property': 64932, 'to_property': 84770, 'travel_time': 7.503403674298393, 'tour_causing_travel': 6, 'prev_end': Timestamp('2025-05-14 21:00:00'), 'next_start': Timestamp('2025-05-14 21:00:00'), 'buffer_time': 0.0}]",84770.0
0c398d8d-c79b-4ca6-831b-2727b7b41600,2025-05-15,6,5,1,4,20.036567575001023,"[{'from_property': 64943, 'to_property': 64935, 'travel_time': 5.0, 'tour_causing_travel': 1, 'prev_end': Timestamp('2025-05-15 14:30:00'), 'next_start': Timestamp('2025-05-15 15:00:00'), 'buffer_time': 30.0}, {'from_property': 64935, 'to_property': 100490, 'travel_time': 5.0, 'tour_causing_travel': 2, 'prev_end': Timestamp('2025-05-15 16:00:00'), 'next_start': Timestamp('2025-05-15 17:00:00'), 'buffer_time': 60.0}, {'from_property': 100490, 'to_property': 64935, 'travel_time': 5.0, 'tour_causing_travel': 3, 'prev_end': Timestamp('2025-05-15 18:00:00'), 'next_start': Timestamp('2025-05-15 18:00:00'), 'buffer_time': 0.0}, {'from_property': 64935, 'to_property': 64932, 'travel_time': 5.036567575001021, 'tour_causing_travel': 5, 'prev_end': Timestamp('2025-05-15 20:01:00'), 'next_start': Timestamp('2025-05-15 20:30:00'), 'buffer_time': 29.0}]",64932.0
0c398d8d-c79b-4ca6-831b-2727b7b41600,2025-05-16,2,1,1,0,0.0,[],64934.0
0c398d8d-c79b-4ca6-831b-2727b7b41600,2025-05-17,2,2,0,1,5.0,"[{'from_property': 64934, 'to_property': 64933, 'travel_time': 5.0, 'tour_causing_travel': 1, 'prev_end': Timestamp('2025-05-17 16:45:00'), 'next_start': Timestamp('2025-05-17 16:30:00'), 'buffer_time': -15.0}]",64933.0
0c398d8d-c79b-4ca6-831b-2727b7b41600,2025-05-19,4,3,1,2,25.93964538802961,"[{'from_property': 64933, 'to_property': 64938, 'travel_time': 14.764451888109434, 'tour_causing_travel': 1, 'prev_end': Timestamp('2025-05-19 17:30:00'), 'next_start': Timestamp('2025-05-19 18:00:00'), 'buffer_time': 30.0}, {'from_property': 64938, 'to_property': 64937, 'travel_time': 11.175193499920177, 'tour_causing_travel': 3, 'prev_end': Timestamp('2025-05-19 20:31:00'), 'next_start': Timestamp('2025-05-19 21:00:00'), 'buffer_time': 29.0}]",64937.0
0c398d8d-c79b-4ca6-831b-2727b7b41600,2025-05-20,5,3,2,2,13.152366758149611,"[{'from_property': 64942, 'to_property': 64934, 'travel_time': 5.164938606490889, 'tour_causing_travel': 1, 'prev_end': Timestamp('2025-05-20 14:15:00'), 'next_start': Timestamp('2025-05-20 14:00:00'), 'buffer_time': -15.0}, {'from_property': 64934, 'to_property': 64939, 'travel_time': 7.9874281516587216, 'tour_causing_travel': 2, 'prev_end': Timestamp('2025-05-20 16:00:00'), 'next_start': Timestamp('2025-05-20 18:00:00'), 'buffer_time': 120.0}]",64939.0
0c398d8d-c79b-4ca6-831b-2727b7b41600,2025-05-21,5,5,0,4,22.095139208746772,"[{'from_property': 64933, 'to_property': 64937, 'travel_time': 5.616117048498422, 'tour_causing_travel': 1, 'prev_end': Timestamp('2025-05-21 15:45:00'), 'next_start': Timestamp('2025-05-21 16:00:00'), 'buffer_time': 15.0}, {'from_property': 64937, 'to_property': 64941, 'travel_time': 5.431452555874965, 'tour_causing_travel': 2, 'prev_end': Timestamp('2025-05-21 17:00:00'), 'next_start': Timestamp('2025-05-21 16:00:00'), 'buffer_time': -60.0}, {'from_property': 64941, 'to_property': 64937, 'travel_time': 5.431452555874965, 'tour_causing_travel': 3, 'prev_end': Timestamp('2025-05-21 17:00:00'), 'next_start': Timestamp('2025-05-21 19:30:00'), 'buffer_time': 150.0}, {'from_property': 64937, 'to_property': 64933, 'travel_time': 5.616117048498422, 'tour_causing_travel': 4, 'prev_end': Timestamp('2025-05-21 20:30:00'), 'next_start': Timestamp('2025-05-21 20:30:00'), 'buffer_time': 0.0}]",64933.0
0c398d8d-c79b-4ca6-831b-2727b7b41600,2025-05-22,5,5,0,3,19.851905039728603,"[{'from_property': 64940, 'to_property': 64937, 'travel_time': 5.635846297599026, 'tour_causing_travel': 1, 'prev_end': Timestamp('2025-05-22 14:15:00'), 'next_start': Timestamp('2025-05-22 15:00:00'), 'buffer_time': 45.0}, {'from_property': 64937, 'to_property': 64932, 'travel_time': 7.108029371064788, 'tour_causing_travel': 3, 'prev_end': Timestamp('2025-05-22 17:00:00'), 'next_start': Timestamp('2025-05-22 18:00:00'), 'buffer_time': 60.0}, {'from_property': 64932, 'to_property': 64937, 'travel_time': 7.108029371064788, 'tour_causing_travel': 4, 'prev_end': Timestamp('2025-05-22 19:00:00'), 'next_start': Timestamp('2025-05-22 20:00:00'), 'buffer_time': 60.0}]",64937.0
0c398d8d-c79b-4ca6-831b-2727b7b41600,2025-05-27,1,1,0,0,0.0,[],64932.0
0c398d8d-c79b-4ca6-831b-2727b7b41600,2025-05-28,2,2,0,1,7.503403674298393,"[{'from_property': 84770, 'to_property': 64932, 'travel_time': 7.503403674298393, 'tour_causing_travel': 1, 'prev_end': Timestamp('2025-05-28 17:00:00'), 'next_start': Timestamp('2025-05-28 17:00:00'), 'buffer_time': 0.0}]",64932.0
0c398d8d-c79b-4ca6-831b-2727b7b41600,2025-05-29,1,1,0,0,0.0,[],64943.0
15683175-1be2-4152-919c-5fe89f7a6a8a,2025-05-01,1,1,0,0,0.0,[],64934.0
15683175-1be2-4152-919c-5fe89f7a6a8a,2025-05-09,1,1,0,0,0.0,[],64933.0
15683175-1be2-4152-919c-5fe89f7a6a8a,2025-05-16,1,1,0,0,0.0,[],64934.0
15683175-1be2-4152-919c-5fe89f7a6a8a,2025-05-17,1,0,1,0,0.0,[],
15683175-1be2-4152-919c-5fe89f7a6a8a,2025-05-23,2,2,0,0,0.0,[],64935.0
15683175-1be2-4152-919c-5fe89f7a6a8a,2025-05-24,1,1,0,0,0.0,[],64933.0
15683175-1be2-4152-919c-5fe89f7a6a8a,2025-05-30,1,1,0,0,0.0,[],64935.0
15683175-1be2-4152-919c-5fe89f7a6a8a,2025-05-31,2,2,0,0,0.0,[],64933.0
1f158974-a996-45f7-b804-b738faff9c16,2025-05-13,1,1,0,0,0.0,[],64932.0
1f158974-a996-45f7-b804-b738faff9c16,2025-05-14,1,1,0,0,0.0,[],84770.0
25ffdb26-bfbc-43cf-b400-0223decaa038,2025-05-01,4,4,0,1,15.460035594910849,"[{'from_property': 64932, 'to_property': 64938, 'travel_time': 15.460035594910849, 'tour_causing_travel': 1, 'prev_end': Timestamp('2025-05-01 14:00:00'), 'next_start': Timestamp('2025-05-01 15:15:00'), 'buffer_time': 75.0}]",64938.0
